YY;MM;OD;PAX
2008;3;LASPHX;167518
2008;3;LASSEA;108419
2008;3;LASSFO;153083
2008;3;LAXMIA;76148
2008;3;LAXORD;176541
2008;3;LAXPHX;128415
2008;3;LAXSEA;117232
2008;3;LAXSFO;233898
2008;3;LAXSJC;86597
2008;3;LGAMIA;80775
2008;3;LGAORD;179731
2008;3;MCOPHL;162068
2008;3;MSPORD;160398
2008;3;MSPPHX;126640
2008;3;ORDPHL;117218
2008;3;ORDPHX;125211
2008;3;ORDSEA;102603
2008;3;ORDSFO;137400
2008;3;PHXSAN;123095
2008;3;PHXSEA;117834
2008;3;PHXSLC;124634
2008;3;SANSFO;125171
2008;3;SEASFO;98826
2008;4;ANCSEA;86706
2008;4;ATLBOS;119953
2008;4;ATLBWI;107401
2008;4;ATLCLT;96500
2008;4;ATLDCA;140827
2008;4;ATLDEN;118114
2008;4;ATLDFW;169759
2008;4;ATLDTW;92481
2008;4;ATLFLL;198163
2008;4;ATLJAX;112183
2008;4;ATLLAS;138713
2008;4;ATLLAX;153145
2008;4;ATLLGA;199032
2008;4;ATLMCO;235941
2008;4;ATLMIA;126150
2008;4;ATLMSP;80676
2008;4;ATLMSY;84556
2008;4;ATLORD;118684
2008;4;ATLPBI;99717
2008;4;ATLPHL;122089
2008;4;ATLPHX;113816
2008;4;ATLRDU;90531
2008;4;ATLRSW;97808
2008;4;ATLSFO;83022
2008;4;ATLTPA;160432
2008;4;AUSDFW;89064
2008;4;BOSCLT;68710
2008;4;BOSDCA;89483
2008;4;BOSORD;126590
2008;4;BOSPHL;72032
2008;4;BOSSFO;68106
2008;4;CLTDFW;63118
2008;4;CLTLGA;77247
2008;4;CLTMCO;82145
2008;4;CLTORD;92994
2008;4;DALHOU;109446
2008;4;DCAORD;125025
2008;4;DENDFW;126245
2008;4;DENIAH;91787
2008;4;DENLAS;157803
2008;4;DENLAX;138834
2008;4;DENMSP;99366
2008;4;DENORD;137147
2008;4;DENPHX;156963
2008;4;DENSAN;95892
2008;4;DENSEA;114323
2008;4;DENSFO;102890
2008;4;DENSLC;108588
2008;4;DFWLAS;102991
2008;4;DFWLAX;136143
2008;4;DFWLGA;87082
2008;4;DFWMIA;77332
2008;4;DFWORD;150096
2008;4;DFWPHX;94713
2008;4;DFWSAT;87672
2008;4;DFWSFO;70902
2008;4;DTWMCO;132525
2008;4;EWRLAX;74887
2008;4;EWRMCO;148556
2008;4;EWRORD;115633
2008;4;EWRSFO;56606
2008;4;FLLLGA;109364
2008;4;HNLITO;98564
2008;4;HNLKOA;116961
2008;4;HNLLAX;171343
2008;4;HNLLIH;144497
2008;4;HNLOGG;189446
2008;4;IADLAX;106426
2008;4;IADSFO;82016
2008;4;IAHLAX;94253
2008;4;IAHORD;86782
2008;4;JFKLAX;200160
2008;4;JFKMCO;124297
2008;4;JFKSFO;155165
2008;4;JFKSJU;95185
2008;4;LASLAX;165017
2008;4;LASORD;133011
2008;4;LASPHX;148035
2008;4;LASSEA;102876
2008;4;LASSFO;151493
2008;4;LAXMIA;73352
2008;4;LAXORD;180094
2008;4;LAXPHX;115161
2008;4;LAXSEA;131759
2008;4;LAXSFO;235251
2008;4;LAXSJC;83080
2008;4;LGAMIA;92082
2008;4;LGAORD;181833
2008;4;MCOPHL;149867
2008;4;MSPORD;164855
2008;4;MSPPHX;98796
2008;4;ORDPHL;119098
2008;4;ORDPHX;109427
2008;4;ORDSEA;97393
2008;4;ORDSFO;143246
2008;4;PHXSAN;118975
2008;4;PHXSEA;105054
2008;4;PHXSLC;100308
2008;4;SANSFO;126348
2008;4;SEASFO;103007
2008;5;ANCSEA;117695
2008;5;ATLBOS;122283
2008;5;ATLBWI;115578
2008;5;ATLCLT;118875
2008;5;ATLDCA;146765
2008;5;ATLDEN;126534
2008;5;ATLDFW;175628
2008;5;ATLDTW;94907
2008;5;ATLFLL;201379
2008;5;ATLJAX;111695
2008;5;ATLLAS;143291
2008;5;ATLLAX;151376
2008;5;ATLLGA;197095
2008;5;ATLMCO;225099
2008;5;ATLMIA;122500
2008;5;ATLMSP;89600
2008;5;ATLMSY;89581
2008;5;ATLORD;119356
2008;5;ATLPBI;86759
2008;5;ATLPHL;135329
2008;5;ATLPHX;105700
2008;5;ATLRDU;96216
2008;5;ATLRSW;84730
